127.0.0.1 - - [28/Feb/2023:08:57:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Feb/2023:08:57:18 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:08:57:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2023:08:57:23 +0900] "GET /03_JavaScript/images/%EC%85%94%EC%B8%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:33:01 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:33:02 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:33:04 +0900] "GET /03_JavaScript/images/%EB%82%A8%EC%84%B1%EC%BD%94%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:45 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:48 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:49 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:49 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:49 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:49 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:38:55 +0900] "GET /03_JavaScript/02_%EB%82%B4%EC%9E%A5%EA%B0%9D%EC%B2%B4/Ex06_%EC%86%A1%EB%82%98%EC%98%81.html HTTP/1.1" 200 2131
